match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
3857256,2022-12-02,21:00:00.000,2,3,available,available,2023-02-17T23:45:15.306706,2023-04-26T23:49:58.956186,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,786,Serbia,male,G,203,Serbia,773,Switzerland,male,G,221,Switzerland,10,Group Stage,1001115,Stadium 974,185,Qatar,1121.0,Fernando Andrés Rapallini,11.0,Argentina,Dragan Stojković,Murat Yakin,5908,Dragan Stojković,,1965-03-03,203,Serbia,2832,Murat Yakin,,1974-09-15,221,Switzerland,1.1.0,2,2
3869151,2022-12-03,21:00:00.000,2,1,available,available,2023-07-30T07:46:05.382784,2023-07-30T07:48:51.865595,4,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,779,Argentina,male,,11,Argentina,792,Australia,male,,14,Australia,33,Round of 16,1000793,Ahmad bin Ali Stadium,185,Qatar,367.0,Szymon Marciniak,182.0,Poland,Lionel Sebastián Scaloni,Graham James Arnold,5677,Lionel Sebastián Scaloni,,1978-05-16,11,Argentina,5696,Graham James Arnold,,1963-08-03,14,Australia,1.1.0,2,2
3857257,2022-11-30,17:00:00.000,1,0,available,available,2023-04-28T17:13:10.958725,2023-06-20T11:04:37.638969,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,792,Australia,male,D,14,Australia,776,Denmark,male,D,61,Denmark,10,Group Stage,117897,Al Janoub Stadium   ,185,Qatar,2311.0,Mustapha Ghorbal,4.0,Algeria,Graham James Arnold,Kasper Hjulmand,5696,Graham James Arnold,,1963-08-03,14,Australia,255,Kasper Hjulmand,,1972-04-09,61,Denmark,1.1.0,2,2
3857258,2022-11-24,21:00:00.000,2,0,available,available,2023-06-24T17:17:27.911026,2023-07-11T14:56:31.096588,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,781,Brazil,male,G,31,Brazil,786,Serbia,male,G,203,Serbia,10,Group Stage,1001114,Lusail Stadium,185,Qatar,741.0,Alireza Faghani,107.0,"Iran, Islamic Republic of",Telê Santana da Silva,Dragan Stojković,4704,Telê Santana da Silva,Telê Santana,1931-07-26,31,Brazil,5908,Dragan Stojković,,1965-03-03,203,Serbia,1.1.0,2,2
3857288,2022-11-26,12:00:00.000,0,1,available,available,2023-02-28T21:25:20.888552,2023-04-27T00:30:07.835815,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,777,Tunisia,male,D,232,Tunisia,792,Australia,male,D,14,Australia,10,Group Stage,117897,Al Janoub Stadium   ,185,Qatar,225.0,Daniel Siebert,85.0,Germany,Jalel Kadri,Graham James Arnold,1001303,Jalel Kadri,,,232,Tunisia,5696,Graham James Arnold,,1963-08-03,14,Australia,1.1.0,2,2
3857267,2022-11-29,17:00:00.000,1,2,available,available,2023-03-11T17:17:56.123509,2023-05-19T13:52:07.885530,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,3565,Ecuador,male,A,65,Ecuador,787,Senegal,male,A,202,Senegal,10,Group Stage,1000253,Sheikh Khalifa International Stadium,185,Qatar,76.0,Clément Turpin,78.0,France,Gustavo Julio Alfaro,Aliou Cissé,2881,Gustavo Julio Alfaro,Gustavo Alfaro,1962-08-14,11,Argentina,635,Aliou Cissé,,1976-03-24,202,Senegal,1.1.0,2,2
3869321,2022-12-09,21:00:00.000,2,2,available,available,2023-03-30T20:22:22.475740,2023-06-21T17:51:12.511460,5,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,941,Netherlands,male,,160,Netherlands,779,Argentina,male,,11,Argentina,11,Quarter-finals,1001114,Lusail Stadium,185,Qatar,180.0,Antonio Miguel Mateu Lahoz,214.0,Spain,Louis van Gaal,Lionel Sebastián Scaloni,788,Louis van Gaal,,1951-08-08,160,Netherlands,5677,Lionel Sebastián Scaloni,,1978-05-16,11,Argentina,1.1.0,2,2
3857287,2022-11-24,15:00:00.000,0,0,available,available,2023-04-16T15:36:08.565089,2023-04-27T00:36:59.281195,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,783,Uruguay,male,H,242,Uruguay,791,South Korea,male,H,121,Korea (South),10,Group Stage,94425,Education City Stadium ,185,Qatar,76.0,Clément Turpin,78.0,France,Diego Martín Alonso López,Paulo Jorge Gomes Bento,3633,Diego Martín Alonso López,Diego Alonso,1975-04-16,242,Uruguay,5688,Paulo Jorge Gomes Bento,Paulo Bento,1969-06-20,183,Portugal,1.1.0,2,2
3869486,2022-12-10,17:00:00.000,1,0,available,available,2023-03-27T04:14:59.777207,2023-04-26T23:03:02.645780,5,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,788,Morocco,male,,154,Morocco,780,Portugal,male,,183,Portugal,11,Quarter-finals,1000838,Al Thumama Stadium,185,Qatar,1094.0,Facundo Tello Figueroa,11.0,Argentina,Hoalid Regragui,Fernando Manuel Fernandes da Costa Santos,1001086,Hoalid Regragui,,1975-09-23,154,Morocco,607,Fernando Manuel Fernandes da Costa Santos,Fernando Santos,1954-10-10,183,Portugal,1.1.0,2,2
3869685,2022-12-18,17:00:00.000,3,3,available,available,2023-02-20T07:27:19.374380,2023-08-17T15:55:15.164685,7,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,779,Argentina,male,,11,Argentina,771,France,male,,78,France,26,Final,1001114,Lusail Stadium,185,Qatar,367.0,Szymon Marciniak,182.0,Poland,Lionel Sebastián Scaloni,Didier Deschamps,5677,Lionel Sebastián Scaloni,,1978-05-16,11,Argentina,545,Didier Deschamps,,1968-10-15,78,France,1.1.0,2,2
3857260,2022-11-30,21:00:00.000,1,2,available,available,2023-03-30T20:21:10.050738,2023-04-27T00:02:11.099509,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,799,Saudi Arabia,male,C,200,Saudi Arabia,794,Mexico,male,C,147,Mexico,10,Group Stage,1001114,Lusail Stadium,185,Qatar,1.0,Michael Oliver,68.0,England,Hervé Renard,Gerardo Daniel Martino,642,Hervé Renard,,1968-09-30,78,France,163,Gerardo Daniel Martino,Gerardo Martino,1962-11-20,11,Argentina,1.1.0,2,2
3857264,2022-11-30,21:00:00.000,0,2,available,available,2023-07-25T08:24:09.695404,2023-07-25T09:10:13.832053,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,789,Poland,male,C,182,Poland,779,Argentina,male,C,11,Argentina,10,Group Stage,1001115,Stadium 974,185,Qatar,293.0,Danny Desmond Makkelie,160.0,Netherlands,Czesław Michniewicz,Lionel Sebastián Scaloni,5294,Czesław Michniewicz,,1970-02-12,182,Poland,5677,Lionel Sebastián Scaloni,,1978-05-16,11,Argentina,1.1.0,2,2
3857266,2022-11-26,18:00:00.000,2,1,available,available,2023-08-03T07:22:32.358478,2023-08-03T07:25:02.572748,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,771,France,male,D,78,France,776,Denmark,male,D,61,Denmark,10,Group Stage,1001115,Stadium 974,185,Qatar,367.0,Szymon Marciniak,182.0,Poland,Didier Deschamps,Kasper Hjulmand,545,Didier Deschamps,,1968-10-15,78,France,255,Kasper Hjulmand,,1972-04-09,61,Denmark,1.1.0,2,2
3857289,2022-11-26,21:00:00.000,2,0,available,available,2023-02-08T14:48:48.516858,2023-06-20T11:57:08.547882,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,779,Argentina,male,C,11,Argentina,794,Mexico,male,C,147,Mexico,10,Group Stage,1001114,Lusail Stadium,185,Qatar,269.0,Daniele Orsato,112.0,Italy,Lionel Sebastián Scaloni,Gerardo Daniel Martino,5677,Lionel Sebastián Scaloni,,1978-05-16,11,Argentina,163,Gerardo Daniel Martino,Gerardo Martino,1962-11-20,11,Argentina,1.1.0,2,2
3857269,2022-11-28,18:00:00.000,1,0,available,available,2023-03-28T12:54:30.503171,2023-07-11T15:07:29.255525,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,781,Brazil,male,G,31,Brazil,773,Switzerland,male,G,221,Switzerland,10,Group Stage,1001115,Stadium 974,185,Qatar,1834.0,Ivan Arcides Barton Cisneros,67.0,El Salvador,Adenor Leonardo Bacchi,Murat Yakin,547,Adenor Leonardo Bacchi,Tite,1961-05-25,31,Brazil,2832,Murat Yakin,,1974-09-15,221,Switzerland,1.1.0,2,2
3857294,2022-11-29,17:00:00.000,2,0,available,available,2023-02-03T13:22:36.184520,2023-06-20T16:05:32.013096,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,941,Netherlands,male,A,160,Netherlands,3566,Qatar,male,A,185,Qatar,10,Group Stage,1001113,Al Bayt Stadium,185,Qatar,736.0,Bakary Papa Gassama,83.0,Gambia,Louis van Gaal,Félix Sánchez Bas,788,Louis van Gaal,,1951-08-08,160,Netherlands,5710,Félix Sánchez Bas,Félix Sánchez,1975-12-13,214,Spain,1.1.0,2,2
3869254,2022-12-06,21:00:00.000,6,1,available,available,2023-07-29T08:57:37.518627,2023-07-29T08:59:00.508552,4,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,780,Portugal,male,,183,Portugal,773,Switzerland,male,,221,Switzerland,33,Round of 16,1001114,Lusail Stadium,185,Qatar,740.0,César Arturo Ramos Palazuelos,147.0,Mexico,Fernando Manuel Fernandes da Costa Santos,Murat Yakin,607,Fernando Manuel Fernandes da Costa Santos,Fernando Santos,1954-10-10,183,Portugal,2832,Murat Yakin,,1974-09-15,221,Switzerland,1.1.0,2,2
3869118,2022-12-04,21:00:00.000,3,0,available,available,2023-07-15T22:01:09.812380,2023-07-15T22:01:52.119586,4,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,768,England,male,,68,England,787,Senegal,male,,202,Senegal,33,Round of 16,1001113,Al Bayt Stadium,185,Qatar,1834.0,Ivan Arcides Barton Cisneros,67.0,El Salvador,Gareth Southgate,Aliou Cissé,277,Gareth Southgate,,1970-09-03,68,England,635,Aliou Cissé,,1976-03-24,202,Senegal,1.1.0,2,2
3869684,2022-12-17,17:00:00.000,2,1,available,available,2023-02-20T08:56:30.908564,2023-04-26T22:18:59.308194,7,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,785,Croatia,male,,56,Croatia,788,Morocco,male,,154,Morocco,25,3rd Place Final,1000253,Sheikh Khalifa International Stadium,185,Qatar,2521.0,Abdulrahman Ibrahim Al Jassim,185.0,Qatar,Zlatko Dalić,Hoalid Regragui,307,Zlatko Dalić,,1966-10-26,56,Croatia,1001086,Hoalid Regragui,,1975-09-23,154,Morocco,1.1.0,2,2
3869519,2022-12-13,21:00:00.000,3,0,available,available,2023-04-19T06:53:52.197711,2023-04-26T22:32:37.808359,6,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,779,Argentina,male,,11,Argentina,785,Croatia,male,,56,Croatia,15,Semi-finals,1001114,Lusail Stadium,185,Qatar,269.0,Daniele Orsato,112.0,Italy,Lionel Sebastián Scaloni,Zlatko Dalić,5677,Lionel Sebastián Scaloni,,1978-05-16,11,Argentina,307,Zlatko Dalić,,1966-10-26,56,Croatia,1.1.0,2,2
3869354,2022-12-10,21:00:00.000,1,2,available,available,2023-03-21T07:09:52.867230,2023-04-26T22:57:33.780657,5,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,768,England,male,,68,England,771,France,male,,78,France,11,Quarter-finals,1001113,Al Bayt Stadium,185,Qatar,986.0,Wilton Pereira Sampaio,31.0,Brazil,Gareth Southgate,Didier Deschamps,277,Gareth Southgate,,1970-09-03,68,England,545,Didier Deschamps,,1968-10-15,78,France,1.1.0,2,2
3869552,2022-12-14,21:00:00.000,2,0,available,available,2023-03-18T06:06:29.317928,2023-04-26T22:30:45.010084,6,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,771,France,male,,78,France,788,Morocco,male,,154,Morocco,15,Semi-finals,1001113,Al Bayt Stadium,185,Qatar,740.0,César Arturo Ramos Palazuelos,147.0,Mexico,Didier Deschamps,Hoalid Regragui,545,Didier Deschamps,,1968-10-15,78,France,1001086,Hoalid Regragui,,1975-09-23,154,Morocco,1.1.0,2,2
